timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T09:37:00.000Z";"2023-08-24T20:58:00.000Z";52.5514079001;54.2275965778;52.1632396348;53.1157644572;68048107.32972111;766670661.4480283;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T19:49:00.000Z";"2023-08-23T00:04:00.000Z";50.5912070675;52.9716147993;50.5734783558;52.5489499235;60780083.23445207;764511878.2338486;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:13:00.000Z";"2023-08-22T21:41:00.000Z";51.0543252349;51.0897415553;49.1922970855;50.5888356033;63056825.44021561;731214740.8123342;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:10:00.000Z";"2023-08-21T17:03:00.000Z";52.5065726762;52.8717806781;50.998689202;51.0526468339;60755232.603444576;742888749.6408949;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T20:47:00.000Z";"2023-08-20T06:34:00.000Z";51.8999491296;52.7542844409;51.717671445;52.5102610353;51562396.170799784;761499620.5672357;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:01:00.000Z";"2023-08-19T07:22:00.000Z";51.2657037333;52.3910692525;51.073982601;51.9014467721;53592646.40294726;753627720.209357;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T06:46:00.000Z";"2023-08-18T17:25:00.000Z";51.0922021349;52.1170680935;50.6790567462;51.263610933;73488693.9119306;745391029.2560499;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T03:41:00.000Z";"2023-08-17T21:47:00.000Z";55.4609908903;55.6470551949;47.9242593519;51.0803760702;90131248.74626246;741660395.6950753;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T01:53:00.000Z";"2023-08-16T21:16:00.000Z";58.2655014067;58.2719615819;54.5684750285;55.4584647315;76312266.9944944;803078998.2136624;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T01:17:00.000Z";"2023-08-15T19:31:00.000Z";60.045477172;60.1804537015;57.7110179688;58.2641581699;60389955.11811381;845339146.253231;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T08:42:00.000Z";"2023-08-14T19:11:00.000Z";60.0152003523;60.670633386;59.9750388543;60.0441730023;58823224.701762006;868634606.2800988;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T01:55:00.000Z";"2023-08-13T16:14:00.000Z";60.3482587573;60.4974477852;59.6014871037;60.0143341656;53610695.73225879;869973525.7237697;"2023-08-13T23:59:59.999Z"
